species	habitat	taxonomic.class	tissue	diet.type	source.iso.13C	source.iso.15N	delta13C	delta15N	citation
Mus_musculus	terrestrial	mammalia	muscle	pellet	-19.3	5.1	-1.6	2.9	"DeNiro, M. J., & Epstein, S. (1978). Influence of diet on the distribution of carbon isotopes in animals. Geochimica et cosmochimica acta, 42(5), 495-506."
Mus_musculus	terrestrial	mammalia	hair	pellet	-18.3	5.8	0.4	1.52	"DeNiro, M. J., & Epstein, S. (1978). Influence of diet on the distribution of carbon isotopes in animals. Geochimica et cosmochimica acta, 42(5), 495-506."
Mus_musculus	terrestrial	mammalia	liver	pellet	-18.3	5.8	-1.7	2.62	"DeNiro, M. J., & Epstein, S. (1978). Influence of diet on the distribution of carbon isotopes in animals. Geochimica et cosmochimica acta, 42(5), 495-506."
Mus_musculus	terrestrial	mammalia	hair	pellet	-22.3	4.6	1.7	3.2	"DeNiro, M. J., & Epstein, S. (1978). Influence of diet on the distribution of carbon isotopes in animals. Geochimica et cosmochimica acta, 42(5), 495-506."
Mus_musculus	terrestrial	mammalia	liver	pellet	-22.3	4.6	1.4	4.67	"DeNiro, M. J., & Epstein, S. (1978). Influence of diet on the distribution of carbon isotopes in animals. Geochimica et cosmochimica acta, 42(5), 495-506."
Meriones_unguiculatus	terrestrial	mammalia	muscle	herbivore	-12.2	NA	-0.4	NA	"Tieszen, L. L., Boutton, T. W., Tesdahl, K. G., & Slade, N. A. (1983). Fractionation and turnover of stable carbon isotopes in animal tissues: implications for _ 13 C analysis of diet. Oecologia, 57(1), 32-37."
Meriones_unguiculatus	terrestrial	mammalia	liver	herbivore	-12.2	NA	-0.1	NA	"Tieszen, L. L., Boutton, T. W., Tesdahl, K. G., & Slade, N. A. (1983). Fractionation and turnover of stable carbon isotopes in animal tissues: implications for _ 13 C analysis of diet. Oecologia, 57(1), 32-37."
Meriones_unguiculatus	terrestrial	mammalia	hair	herbivore	-12.2	NA	1.9	NA	"Tieszen, L. L., Boutton, T. W., Tesdahl, K. G., & Slade, N. A. (1983). Fractionation and turnover of stable carbon isotopes in animal tissues: implications for _ 13 C analysis of diet. Oecologia, 57(1), 32-37."
Meriones_unguiculatus	terrestrial	mammalia	muscle	herbivore	-21.8	NA	0.5	NA	"Tieszen, L. L., Boutton, T. W., Tesdahl, K. G., & Slade, N. A. (1983). Fractionation and turnover of stable carbon isotopes in animal tissues: implications for _ 13 C analysis of diet. Oecologia, 57(1), 32-37."
Meriones_unguiculatus	terrestrial	mammalia	liver	herbivore	-21.8	NA	-0.5	NA	"Tieszen, L. L., Boutton, T. W., Tesdahl, K. G., & Slade, N. A. (1983). Fractionation and turnover of stable carbon isotopes in animal tissues: implications for _ 13 C analysis of diet. Oecologia, 57(1), 32-37."
